Profile Summary
Generated on: 2024-12-13 21:50:04
Msec since Epoch: 1734144604834
Profiled application: xocl-host
Target platform: Xilinx
Tool version: 2023.1
XRT build version: 2.15.225
Build version branch: 2023.1
Build version hash: adf27adb3cfadc6e4c41d6db814159f1329b24f3
Build version date: 2023-05-03 10:13:38
Target devices: xilinx_u280_gen3x16_xdma_base_1-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,10,0.120347,0.007237,0.0120347,0.040958,
clCreateCommandQueue,1,0.007297,0.007297,0.007297,0.007297,
clCreateContext,1,6.41891,6.41891,6.41891,6.41891,
clCreateKernel,1,44.0932,44.0932,44.0932,44.0932,
clCreateProgramWithBinary,1,5385.62,5385.62,5385.62,5385.62,
clEnqueueMigrateMemObjects,2,0.224134,0.018611,0.112067,0.205523,
clEnqueueTask,1,0.09649,0.09649,0.09649,0.09649,
clFinish,3,4.40842,0.188973,1.46947,3.93726,
clGetDeviceIDs,2,0.001858,0.000636,0.000929,0.001222,
clGetDeviceInfo,2,11.7066,0.002769,5.85328,11.7038,
clGetExtensionFunctionAddress,2,0.00828,0.002078,0.00414,0.006202,
clGetExtensionFunctionAddressForPlatform,2,0.002623,0.000709,0.0013115,0.001914,
clGetPlatformInfo,6,0.003078,0.000355,0.000513,0.000783,
clReleaseCommandQueue,1,0.002459,0.002459,0.002459,0.002459,
clReleaseContext,1,0.156107,0.156107,0.156107,0.156107,
clReleaseDevice,4,0.005594,0.000424,0.0013985,0.003303,
clReleaseKernel,1,0.185918,0.185918,0.185918,0.185918,
clReleaseMemObject,30,0.031023,0.000446,0.0010341,0.002376,
clReleaseProgram,1,1.13211,1.13211,1.13211,1.13211,
clRetainDevice,4,0.006625,0.000586,0.00165625,0.004675,
clRetainMemObject,20,0.016592,0.000383,0.0008296,0.004411,
clSetKernelArg,11,0.017389,0.000802,0.00158082,0.004703,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
bfs_xcel,1,3.90035,3.90035,3.90035,3.90035,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94502609395712,bfs_xcel,0,0,xilinx_u280_gen3x16_xdma_base_1-0,5575.53,3.90035,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,5575.24,0.198885,131.104,659.195,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
2415919104,0,0,5579.64,0.088597,4.096,46.2318,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,46.2318,0.293464,4.096,0.088597,0.088597,
context0:1,WRITE,1,659.195,4.18434,131.104,0.198885,0.198885,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_gen3x16_xdma_base_1-0,3.90035,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[1],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[2],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[3],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[4],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[5],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[6],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[7],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[8],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[9],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[10],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[11],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[12],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[13],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[14],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[15],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[16],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[17],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[18],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[19],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[20],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[21],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[22],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[23],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[24],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[25],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[26],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[27],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[28],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[29],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[30],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[31],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|DDR[0],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|DDR[1],0,
